Dia;jan-00;fev-00;mar-00;abr-00;mai-00;jun-00;jul-00;ago-00;set-00;out-00;nov-00;dez-00;jan-01;fev-01;mar-01;abr-01;mai-01;jun-01;jul-01;ago-01;set-01;out-01;nov-01;dez-01;jan-02;fev-02;mar-02;abr-02;mai-02;jun-02;jul-02;ago-02;set-02;out-02;nov-02;dez-02;jan-03;fev-03;mar-03;abr-03;mai-03;jun-03;jul-03;ago-03;set-03;out-03;nov-03;dez-03;jan-04;fev-04;mar-04;abr-04;mai-04;jun-04;jul-04;ago-04;set-04;out-04;nov-04;dez-04;jan-05;fev-05;mar-05;abr-05;mai-05;jun-05;jul-05;ago-05;set-05;out-05;nov-05;dez-05;jan-06;fev-06;mar-06;abr-06;mai-06;jun-06;jul-06;ago-06;set-06;out-06;nov-06;dez-06;jan-07;fev-07;mar-07;abr-07;mai-07;jun-07;jul-07;ago-07;set-07;out-07;nov-07;dez-07;jan-08;fev-08;mar-08;abr-08;mai-08;jun-08;jul-08;ago-08;set-08;out-08;nov-08;dez-08;jan-09;fev-09;mar-09;abr-09;mai-09;jun-09;jul-09;ago-09;set-09;out-09;nov-09;dez-09;jan-10;fev-10;mar-10;abr-10;mai-10;jun-10;jul-10;ago-10;set-10;out-10;nov-10;dez-10;jan-11;fev-11;mar-11;abr-11;mai-11;jun-11;jul-11;ago-11;set-11;out-11;nov-11;dez-11;jan-12;fev-12;mar-12;abr-12;mai-12;jun-12;jul-12;ago-12;set-12;out-12;nov-12;dez-12;jan-13;fev-13;mar-13;abr-13;mai-13;jun-13;jul-13;ago-13;set-13;out-13;nov-13;dez-13;jan-14;fev-14;mar-14;abr-14;mai-14;jun-14;jul-14;ago-14;set-14;out-14;nov-14;dez-14;jan-15;fev-15;mar-15;abr-15;mai-15;jun-15;jul-15;ago-15;set-15;out-15;nov-15;dez-15;jan-16;fev-16;mar-16;abr-16;mai-16;jun-16;jul-16;ago-16;set-16;out-16;nov-16;dez-16
1;119.8;13.8;25.4;4.2;1.1;4.5;0.2;1.3;60.2;0.0;0.0;48.0;4.2;25.3;0.0;70.4;0.0;0.0;0.0;0.0;0.0;83.4;18.4;0.0;1.5;5.9;0.0;0.0;0.0;0.8;0.0;15.7;0.0;8.0;51.7;14.4;0.0;0.0;0.0;0.0;3.5;0.0;0.0;1.1;0.2;0.0;43.2;2.2;78.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;13.7;9.0;0.0;15.1;82.0;0.0;1.4;0.0;0.0;0.0;38.9;1.5;14.4;87.0;6.6;0.0;0.0;7.6;0.0;0.6;0.8;18.8;61.7;1.3;26.6;0.9;9.3;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.2;0.0;16.8;0.0;0.1;0.1;2.3;0.0;7.6;16.4;0.0;0.0;0.0;29.9;0.2;0.0;5.8;0.0;0.0;3.6;52.1;0.0;3.8;0.5;0.0;0.0;0.0;21.4;97.2;0.0;1.6;2.6;0.0;22.8;0.0;31.9;0.0;8.8;1.5;28.3;110.0;0.0;83.7;1.6;10.1;0.0;0.0;15.6;0.0;3.2;5.4;72.8;28.8;6.9;0.0;0.0;1.7;5.4;0.0;0.0;0.0;0.0;25.7;0.0;13.6;0.0;0.0;0.0;0.0;0.1;35.0;0.0;0.0;18.0;0.0;22.3;0.0;0.0;0.5;5.0;0.0;0.0;0.0;0.0;0.0;4.6;0.0;0.0;9.6;34.0;0.2;3.8;0.0;8.2;0.2;0.0;21.6;4.2;72.8;1.2;85.4;0.0;3.4;0.0;0.0;12.8;1.6;0.2;0.8;14.0;0.0;0.0
2;19.4;10.2;0.0;43.0;8.7;0.0;0.0;0.0;28.2;0.0;0.0;0.1;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;5.8;0.0;6.6;66.1;5.4;1.2;12.0;0.0;0.0;8.2;0.0;0.0;0.3;23.0;1.6;0.0;0.0;0.7;41.9;0.0;0.0;0.0;0.0;0.0;52.7;0.0;11.5;0.0;0.0;0.0;0.0;6.4;0.0;0.0;0.0;0.7;1.0;0.6;0.0;101.6;25.8;0.0;0.7;0.0;0.0;0.0;0.4;4.9;24.0;77.4;15.4;0.2;0.0;3.0;0.0;2.4;10.4;30.0;0.2;5.3;18.6;0.0;1.7;16.7;0.0;0.0;0.0;13.7;0.0;0.3;7.6;0.0;18.1;0.0;1.7;0.1;0.0;4.7;41.8;0.2;0.0;4.4;0.0;0.0;3.7;26.5;20.0;2.6;0.0;6.4;0.0;0.0;4.8;0.0;0.0;0.0;0.0;2.1;5.9;0.0;0.0;1.7;0.0;0.0;0.0;24.8;0.0;24.8;0.0;1.7;33.7;71.2;18.1;12.2;3.0;0.0;0.0;0.0;0.0;14.8;0.1;11.8;1.0;0.0;8.9;1.0;10.4;0.2;0.0;0.0;0.0;0.0;6.3;24.8;72.8;6.3;0.6;1.2;0.0;9.2;21.2;0.0;0.0;21.2;0.0;1.3;0.0;0.0;23.8;50.6;0.0;0.0;0.0;0.0;30.8;11.8;0.0;0.0;14.2;3.6;0.0;0.0;0.0;1.0;21.6;0.0;2.8;4.8;8.8;9.0;83.8;0.4;9.8;0.0;0.0;5.8;0.2;6.8;5.2;6.4;6.8;0.0
3;22.5;0.1;0.0;6.5;0.0;0.0;29.2;9.3;40.3;0.0;23.8;0.0;4.6;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;26.4;0.8;28.3;1.4;0.0;0.0;0.0;0.0;0.0;0.0;31.8;3.0;0.0;9.9;58.3;0.6;6.2;0.0;0.0;0.0;0.0;7.6;1.5;1.9;0.0;57.4;0.0;0.0;27.3;0.0;0.0;0.0;15.0;0.0;24.4;19.4;38.4;23.0;12.8;0.0;0.0;0.0;0.0;1.4;0.1;3.8;0.7;8.4;0.0;2.8;3.9;0.0;0.2;0.0;0.0;0.0;5.2;9.4;0.0;21.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;27.1;0.0;6.0;54.0;0.0;46.3;0.2;37.2;0.0;10.6;0.0;0.0;0.0;2.1;5.8;14.6;0.7;0.0;0.0;0.0;1.6;0.0;17.6;2.6;0.4;47.9;0.2;0.0;1.8;19.9;0.0;0.0;0.0;12.1;0.0;29.0;0.0;2.5;20.0;4.4;11.9;8.1;0.0;0.0;14.1;0.0;0.0;13.4;0.4;13.0;0.0;0.0;0.1;0.8;6.8;0.0;0.0;0.0;3.4;1.2;3.5;0.0;23.8;4.4;0.0;0.0;0.0;11.7;0.0;0.0;10.0;22.4;0.0;0.0;0.0;0.0;0.1;46.0;0.0;0.0;0.0;0.0;7.4;0.0;0.8;0.0;3.4;0.0;0.0;0.8;0.0;0.0;13.0;0.0;0.0;8.4;2.6;2.8;31.8;0.0;9.6;0.0;0.0;11.4;0.4;1.8;1.4;12.0;41.0;11.8
4;6.6;11.3;0.0;0.0;0.0;0.0;1.8;2.1;0.1;32.4;31.9;8.7;0.0;11.8;0.0;1.6;12.3;0.0;0.0;0.0;0.8;0.0;1.4;0.0;0.0;0.0;0.0;2.9;0.0;0.0;0.0;0.0;0.0;0.7;33.4;1.8;16.4;0.0;0.0;10.1;0.0;6.4;0.0;0.0;0.0;0.0;5.4;7.2;0.4;1.8;170.1;10.4;6.3;42.5;1.5;0.0;0.0;7.5;3.0;5.0;30.3;28.4;12.7;38.7;0.0;0.0;0.0;0.0;15.8;0.5;1.7;0.0;30.0;0.0;25.8;2.7;0.0;0.0;0.0;0.0;0.0;5.4;0.0;60.8;1.7;0.0;0.0;80.0;0.1;0.0;0.0;1.3;0.0;0.0;15.0;0.0;2.3;5.8;0.0;10.3;0.0;0.0;0.0;0.0;1.6;27.8;0.0;0.0;18.4;7.7;0.2;0.0;7.7;0.0;1.6;4.8;9.6;10.1;0.0;10.0;2.6;0.0;15.2;95.8;0.0;6.2;0.0;19.6;1.6;0.0;6.4;2.8;10.0;6.2;7.6;3.3;0.5;10.8;0.0;0.0;0.0;2.4;0.2;1.4;0.0;0.0;0.0;4.9;0.0;10.6;0.0;0.0;1.8;0.9;2.3;0.0;23.0;21.1;0.0;6.0;0.0;0.0;0.0;3.1;20.0;1.0;54.5;0.0;162.4;0.0;0.0;1.2;0.0;0.0;0.0;11.8;5.8;0.0;8.0;29.0;1.0;13.6;0.0;0.0;6.6;0.0;5.6;0.0;13.8;29.0;26.8;0.0;0.2;0.0;0.0;0.0;0.0;16.8;0.0;0.2;0.2;11.4;18.4;3.4
5;7.0;6.4;0.0;0.0;0.0;0.1;0.0;0.1;0.0;9.8;4.6;25.5;0.0;7.4;0.0;4.4;0.1;0.0;2.8;0.0;3.2;0.0;0.0;1.2;0.0;0.0;0.0;0.1;0.4;0.0;0.0;13.6;0.0;0.6;48.4;13.8;1.0;6.2;8.1;0.4;1.2;6.3;0.0;0.0;0.0;0.0;9.4;20.2;0.0;19.0;6.6;0.6;0.6;1.0;17.1;0.0;0.0;15.0;0.0;2.0;0.0;11.1;4.1;60.7;0.0;0.0;45.9;0.0;0.6;0.8;0.0;4.4;7.4;0.0;14.4;0.0;0.3;0.3;0.0;0.0;0.0;24.8;0.0;0.0;0.0;44.9;0.0;65.6;0.0;0.0;0.0;15.0;0.0;0.0;10.8;2.0;27.9;0.0;0.0;1.0;0.2;0.0;0.0;0.8;0.2;15.6;0.0;0.0;27.5;2.3;0.0;6.8;0.0;0.0;0.0;0.0;0.0;5.2;0.3;0.7;6.1;0.0;18.4;97.4;0.0;0.6;0.0;4.3;17.6;0.0;16.0;18.5;18.1;0.0;11.2;17.4;0.0;0.0;0.0;0.0;0.0;0.1;0.0;3.0;0.0;0.0;0.0;0.1;0.0;43.8;0.0;1.4;0.0;2.9;0.8;0.0;0.0;0.0;12.7;9.5;14.6;0.0;0.0;6.2;1.1;5.0;5.5;17.0;12.4;0.0;13.3;0.1;0.0;0.0;0.0;0.4;0.0;0.0;6.6;7.6;31.8;46.4;0.0;0.2;11.2;0.0;1.4;0.0;0.0;16.8;7.0;34.6;0.0;3.6;0.6;0.0;0.0;9.8;0.0;0.0;5.4;7.8;1.8;0.0
6;6.0;8.8;0.0;0.0;0.5;0.0;0.0;0.0;2.0;7.5;7.6;0.0;2.0;17.8;0.0;3.8;0.3;0.0;1.4;0.0;41.2;0.0;0.0;0.2;5.5;0.2;25.0;21.7;15.0;0.0;0.0;1.1;12.5;0.1;5.5;0.0;10.0;2.8;0.9;29.0;1.9;0.0;0.0;5.6;0.0;0.0;3.8;7.6;0.1;50.5;44.3;29.4;7.2;0.0;0.8;0.0;0.0;10.0;63.2;1.6;0.0;0.7;5.2;0.0;0.0;0.0;28.4;0.0;36.2;8.0;0.6;70.6;0.0;1.6;4.4;2.3;1.2;0.0;0.0;0.0;0.0;9.6;1.1;66.4;2.4;0.0;0.0;1.0;0.0;0.0;0.0;0.6;0.0;0.0;11.7;58.0;22.1;7.9;0.0;20.4;0.0;0.0;0.0;0.0;8.7;9.9;4.3;0.0;1.4;0.0;7.8;3.2;0.0;0.0;0.0;4.4;22.8;2.1;0.0;2.0;3.2;0.0;12.4;82.4;0.0;0.0;0.0;7.8;14.8;0.0;16.5;27.6;0.1;0.0;3.1;0.8;0.0;0.0;8.7;0.0;10.0;0.0;0.0;1.1;16.3;0.0;0.0;0.0;21.2;27.2;0.0;0.2;0.0;0.0;0.0;0.8;1.4;9.1;16.3;0.0;0.0;0.0;0.0;0.1;0.0;3.2;34.5;0.0;0.1;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.2;25.4;21.0;50.0;0.0;0.0;0.0;0.0;9.8;0.0;34.0;41.4;0.0;35.0;0.0;0.0;0.0;31.2;0.0;0.0;1.8;6.0;0.0;0.0
7;1.0;23.4;64.8;0.0;0.0;0.1;0.0;0.0;0.0;0.5;2.1;0.0;0.0;0.1;8.6;8.4;7.3;0.1;0.0;0.0;1.1;3.0;0.0;0.2;0.3;14.4;15.0;40.0;0.1;0.0;0.6;1.7;2.0;0.0;9.9;0.0;0.0;0.3;0.8;0.3;0.0;17.6;0.6;3.1;0.0;7.6;10.0;0.0;4.0;8.1;5.2;0.0;1.7;0.0;0.0;10.0;0.0;1.1;13.6;8.6;10.0;0.0;0.1;0.0;0.0;0.0;13.0;3.9;15.3;2.5;131.8;9.2;0.0;8.4;5.2;0.1;2.3;0.0;0.0;0.0;0.0;5.4;12.1;18.4;0.7;36.4;0.0;1.5;0.0;0.0;0.0;0.0;0.0;1.2;1.1;10.0;20.0;8.1;0.0;0.3;0.0;0.0;0.0;14.6;1.9;60.4;2.2;0.0;0.2;9.3;1.8;15.4;0.0;0.0;0.0;4.2;0.0;45.0;19.3;66.2;58.9;0.0;0.0;17.3;0.0;0.0;0.0;0.6;46.6;10.1;0.1;4.2;13.3;4.8;10.6;16.7;0.1;15.0;0.0;0.0;0.0;0.3;0.0;0.6;0.8;0.0;0.0;0.0;0.0;49.6;20.0;0.0;0.2;0.0;0.0;7.0;0.0;12.7;0.0;109.7;10.6;0.0;0.5;0.0;0.0;21.8;5.5;0.0;0.0;0.0;112.7;0.0;0.0;0.0;2.6;0.2;0.0;0.0;5.2;0.0;0.0;0.0;15.8;5.8;14.6;0.0;16.2;0.0;27.6;0.0;23.4;17.2;0.0;20.2;15.6;0.0;0.0;3.0;0.0;16.2;0.0;0.4;0.0;0.6
8;0.0;5.4;0.8;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;1.2;32.6;0.4;0.6;0.0;0.0;0.0;16.6;0.0;13.8;12.3;28.0;0.0;32.0;2.4;0.0;0.0;0.5;0.2;0.1;0.0;188.4;0.0;0.1;44.1;1.0;0.0;7.3;0.0;0.5;0.0;0.0;0.0;0.0;51.8;25.3;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.4;0.0;0.0;0.0;0.0;2.8;1.2;0.0;0.8;13.1;1.2;0.7;17.1;0.0;0.0;110.5;0.0;13.0;5.5;0.0;0.0;0.0;0.0;25.3;1.6;0.1;3.2;39.6;18.6;4.6;31.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;26.4;6.5;38.7;0.0;0.0;0.0;0.7;14.5;15.4;0.0;0.0;0.0;0.2;70.6;65.0;6.2;51.9;0.6;0.0;0.0;30.2;40.0;0.0;0.0;0.0;18.8;5.2;0.0;18.8;49.0;8.0;15.6;0.0;0.0;0.0;0.0;1.8;0.5;0.2;0.0;13.6;2.0;0.0;0.0;1.4;0.0;19.4;11.9;0.0;0.0;0.0;0.0;4.7;39.0;38.4;0.7;9.0;0.0;0.0;36.6;0.0;0.0;0.0;0.0;0.0;4.4;0.0;0.4;0.0;0.2;33.8;7.8;35.6;0.0;0.0;6.4;0.0;0.0;1.4;13.6;0.0;0.2;0.0;7.8;0.0;35.2;0.2;14.2;0.0;1.6;0.2;0.0;0.0;0.0;0.0;0.0;14.2;2.0;0.0;0.0;0.0
9;0.0;6.8;1.8;0.0;0.0;0.0;0.0;4.2;0.0;0.2;0.0;0.0;0.0;19.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;27.2;0.5;4.4;0.0;0.0;6.2;0.0;0.0;0.0;1.4;0.0;0.0;42.6;0.0;0.0;2.9;1.2;4.8;1.4;2.2;15.5;0.0;16.6;0.0;11.6;4.8;2.3;0.0;8.1;0.0;4.3;0.0;0.0;0.0;0.0;0.0;46.6;0.0;0.0;0.0;0.1;0.0;0.0;0.0;39.0;0.0;8.1;7.6;0.0;0.1;18.4;0.0;6.2;0.0;0.0;53.0;0.0;0.0;1.9;3.4;0.0;0.0;14.0;0.1;23.0;11.4;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;3.2;4.5;1.2;0.0;0.0;59.8;1.3;0.0;0.0;0.0;0.2;3.0;20.0;0.0;0.4;0.0;0.0;0.3;7.9;5.6;0.4;3.8;12.6;16.8;0.0;21.3;33.4;5.7;0.0;6.3;0.2;15.0;3.4;4.6;1.7;0.0;0.6;4.2;18.6;19.8;0.0;2.6;0.6;3.4;0.0;29.1;1.6;0.8;0.0;24.6;0.0;2.2;0.1;0.0;1.0;0.0;9.0;10.3;98.2;0.2;26.9;4.4;0.0;0.0;3.9;0.5;0.0;0.0;0.0;11.2;0.0;0.0;0.0;0.0;2.6;29.6;42.2;4.8;0.0;0.0;0.2;0.8;0.0;0.0;16.6;0.0;0.0;0.0;0.0;0.0;0.0;0.4;2.4;0.0;74.2;0.0;0.2;0.0;0.0;0.0;0.0;1.4;2.4;4.8;21.6;1.4
10;0.0;7.7;0.0;0.0;10.0;13.3;0.0;24.8;0.0;5.6;0.0;0.0;4.7;0.4;0.6;0.0;8.0;5.6;0.0;0.7;2.4;20.7;0.0;10.3;0.0;0.6;0.0;0.0;0.5;6.2;0.3;0.2;2.5;0.2;24.6;18.0;38.8;26.7;0.2;2.8;5.1;0.0;19.0;0.0;31.8;62.4;0.0;0.0;0.0;9.7;0.5;32.9;4.3;0.0;16.6;0.0;0.0;2.3;13.5;60.0;17.4;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;1.4;0.0;11.4;0.0;58.2;20.5;0.2;0.0;0.0;32.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3;4.5;0.0;0.0;0.1;0.0;0.0;0.2;4.1;4.8;0.0;7.7;0.1;17.2;10.4;0.0;0.0;0.0;0.0;0.0;46.3;12.5;0.6;2.4;0.0;0.6;0.0;12.5;15.0;5.5;2.9;4.2;0.0;8.0;7.5;15.9;0.0;2.5;1.4;0.8;0.4;3.7;0.0;4.3;90.0;3.1;34.8;21.8;1.6;5.8;1.4;0.1;0.0;12.8;0.7;0.9;0.0;6.4;10.1;10.2;5.2;0.0;0.0;0.4;0.0;0.0;0.5;0.0;0.2;0.0;66.1;11.4;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;34.6;0.0;0.0;0.1;0.0;25.8;16.2;56.2;0.0;0.0;0.0;0.0;25.2;0.0;9.0;1.4;0.0;25.0;0.0;0.0;0.0;15.8;0.4;0.2;0.0;9.0;0.0;39.6;0.0;1.2;0.0;0.0;0.0;0.2;0.6;15.2;3.0
11;0.0;4.3;3.4;0.0;1.4;0.4;0.0;6.7;1.3;3.7;0.0;0.0;14.4;0.0;24.8;32.6;15.4;0.2;7.6;12.5;12.3;0.8;32.0;5.7;11.4;0.0;0.0;0.0;0.0;0.1;20.0;0.0;0.0;0.0;50.0;16.0;0.2;1.9;0.1;0.0;0.0;0.0;2.7;1.1;0.2;60.0;0.0;0.0;0.0;1.0;0.1;1.1;0.0;0.0;3.9;0.0;63.7;0.0;3.3;83.4;124.1;31.0;0.2;0.0;0.0;0.0;0.0;0.0;2.8;3.1;0.0;19.6;0.0;42.9;11.3;0.2;3.4;6.3;0.7;0.0;0.0;0.0;0.0;5.1;0.0;59.7;34.6;0.0;0.0;0.0;20.2;9.2;0.0;0.0;52.8;21.7;7.4;12.3;1.8;0.0;2.4;0.0;0.0;0.0;0.3;0.7;2.0;25.1;0.0;58.0;13.3;0.0;0.0;33.5;72.5;19.0;3.6;0.2;9.4;1.0;23.6;5.3;0.0;10.9;0.5;24.2;0.0;0.0;0.0;1.7;12.9;37.7;44.6;0.0;0.1;0.0;0.0;0.1;0.4;0.0;1.4;10.1;0.5;0.0;3.8;18.8;1.0;0.0;0.9;27.8;5.4;0.0;0.0;21.4;0.0;0.0;0.0;13.5;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.2;45.4;0.0;61.8;0.0;0.7;2.6;2.8;0.0;0.0;0.0;0.0;9.6;0.0;0.0;7.0;0.0;0.2;8.6;1.8;0.0;18.2;1.2;0.0;0.0;4.8;32.0;11.6;0.0;0.6;0.0;0.0;0.4;0.6;0.8;2.4;27.6
