Dia;jan-00;fev-00;mar-00;abr-00;mai-00;jun-00;jul-00;ago-00;set-00;out-00;nov-00;dez-00;jan-01;fev-01;mar-01;abr-01;mai-01;jun-01;jul-01;ago-01;set-01;out-01;nov-01;dez-01;jan-02;fev-02;mar-02;abr-02;mai-02;jun-02;jul-02;ago-02;set-02;out-02;nov-02;dez-02;jan-03;fev-03;mar-03;abr-03;mai-03;jun-03;jul-03;ago-03;set-03;out-03;nov-03;dez-03;jan-04;fev-04;mar-04;abr-04;mai-04;jun-04;jul-04;ago-04;set-04;out-04;nov-04;dez-04;jan-05;fev-05;mar-05;abr-05;mai-05;jun-05;jul-05;ago-05;set-05;out-05;nov-05;dez-05;jan-06;fev-06;mar-06;abr-06;mai-06;jun-06;jul-06;ago-06;set-06;out-06;nov-06;dez-06;jan-07;fev-07;mar-07;abr-07;mai-07;jun-07;jul-07;ago-07;set-07;out-07;nov-07;dez-07;jan-08;fev-08;mar-08;abr-08;mai-08;jun-08;jul-08;ago-08;set-08;out-08;nov-08;dez-08;jan-09;fev-09;mar-09;abr-09;mai-09;jun-09;jul-09;ago-09;set-09;out-09;nov-09;dez-09;jan-10;fev-10;mar-10;abr-10;mai-10;jun-10;jul-10;ago-10;set-10;out-10;nov-10;dez-10;jan-11;fev-11;mar-11;abr-11;mai-11;jun-11;jul-11;ago-11;set-11;out-11;nov-11;dez-11;jan-12;fev-12;mar-12;abr-12;mai-12;jun-12;jul-12;ago-12;set-12;out-12;nov-12;dez-12;jan-13;fev-13;mar-13;abr-13;mai-13;jun-13;jul-13;ago-13;set-13;out-13;nov-13;dez-13;jan-14;fev-14;mar-14;abr-14;mai-14;jun-14;jul-14;ago-14;set-14;out-14;nov-14;dez-14;jan-15;fev-15;mar-15;abr-15;mai-15;jun-15;jul-15;ago-15;set-15;out-15;nov-15;dez-15;jan-16;fev-16;mar-16;abr-16;mai-16;jun-16;jul-16;ago-16;set-16;out-16;nov-16;dez-16
25;48.0;0.0;27.8;0.0;0.0;0.0;0.0;0.0;20.3;6.8;77.0;0.3;2.6;5.5;0.7;0.0;3.2;0.1;4.9;0.0;11.2;0.0;0.0;1.3;10.6;0.1;0.6;0.0;0.0;10.8;0.0;0.0;0.5;30.8;12.9;34.0;7.4;0.0;28.4;0.0;0.0;0.0;0.0;14.0;19.5;0.0;0.0;6.8;6.4;0.8;0.0;56.3;2.2;6.4;0.0;0.1;2.2;16.7;0.0;0.0;63.1;7.5;4.8;57.0;2.5;0.0;0.4;0.1;26.7;0.1;28.6;9.7;2.6;0.0;95.8;0.0;0.0;0.0;0.0;0.0;6.5;0.0;36.3;2.7;0.0;19.3;0.0;0.0;0.5;18.1;2.8;0.0;0.2;5.2;0.0;0.0;0.1;3.0;46.9;0.0;0.0;7.6;1.8;0.0;4.6;1.5;0.0;57.9;0.0;24.2;0.0;0.1;8.6;7.8;22.7;28.3;0.2;4.6;0.0;1.9;1.8;97.6;0.0;0.0;0.0;0.0;0.0;0.0;20.8;15.6;19.8;0.0;0.0;0.0;0.1;13.5;0.0;0.0;0.0;0.7;19.6;20.0;0.0;87.2;10.4;3.6;0.0;0.0;0.0;0.4;4.0;0.0;35.8;0.4;62.0;0.0;3.8;37.2;0.5;0.0;1.6;36.2;0.7;2.2;4.9;49.0;59.2;0.0;0.0;4.6;8.6;1.7;13.9;0.0;2.8;0.0;0.6;0.2;49.6;1.2;0.0;4.0;0.0;12.8;2.4;2.4;19.6;0.0;9.6;12.2;7.2;0.2;1.2;0.0;10.4;0.0;0.0;0.6;0.0;0.0;9.4;13.0;0.0;0.0
26;49.9;0.3;5.1;0.0;0.0;0.6;1.1;0.0;0.0;0.0;8.8;1.1;0.0;0.0;18.1;0.0;0.3;8.6;6.9;0.0;3.4;0.0;0.0;19.2;24.0;0.0;0.0;0.0;0.0;2.1;0.0;2.7;0.0;0.0;5.5;5.8;3.3;0.0;0.1;0.0;0.0;0.0;1.2;1.3;2.2;0.1;1.6;6.8;17.3;0.0;0.0;2.6;0.0;0.4;0.0;9.9;0.0;0.9;0.0;13.2;18.5;2.1;1.8;23.0;1.2;0.0;0.0;2.7;39.0;9.3;3.4;5.1;29.4;0.0;14.2;2.2;0.0;16.4;0.0;0.0;0.7;5.7;12.9;7.8;5.4;60.0;0.0;40.0;0.0;0.1;0.0;0.0;0.3;0.7;9.6;0.0;0.2;13.6;0.0;0.0;0.2;0.0;0.0;0.7;0.1;0.1;1.7;60.6;7.0;15.8;4.5;2.7;2.5;62.8;20.8;0.3;0.0;24.4;3.3;0.7;49.6;1.2;18.9;0.4;5.7;0.0;15.8;0.0;23.5;9.6;0.0;11.9;0.0;0.0;0.0;0.5;73.0;35.1;0.0;8.6;0.0;0.0;0.0;15.2;44.6;16.9;40.5;39.6;0.0;0.0;0.0;0.0;4.0;1.2;10.6;0.0;30.0;6.9;16.6;0.0;0.0;8.5;8.0;0.5;0.0;0.5;6.4;0.0;0.0;0.0;45.0;0.1;0.0;0.0;5.6;3.8;14.4;20.6;6.0;0.0;0.0;3.6;0.0;3.2;1.2;0.0;0.0;0.0;3.2;2.2;0.8;0.0;0.6;0.0;0.0;0.4;1.6;0.0;0.0;0.0;0.0;9.2;0.0;0.0
27;18.5;0.2;0.3;0.0;0.4;0.0;2.3;27.4;0.0;2.5;0.0;10.1;5.2;0.0;1.0;0.0;6.0;4.4;38.7;0.0;28.6;0.0;0.0;0.2;0.0;1.4;11.6;88.9;0.0;0.5;1.8;0.0;0.0;0.0;0.0;0.0;32.2;0.0;3.7;0.0;0.0;0.0;28.1;16.2;0.0;103.1;6.1;0.0;12.1;45.2;0.0;0.0;0.4;0.0;0.0;6.0;0.7;4.7;28.0;10.6;15.1;0.1;0.5;0.2;0.0;0.0;0.0;0.0;8.2;2.8;0.0;0.0;17.7;0.0;6.8;0.0;0.0;1.0;0.0;0.4;0.0;0.2;19.7;8.9;0.0;0.2;0.0;55.2;0.0;5.8;1.7;6.0;0.0;25.1;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;5.5;1.6;1.5;29.0;0.0;0.0;1.8;1.0;7.2;8.0;0.0;0.0;125.6;4.9;48.2;35.3;0.2;44.1;19.4;18.2;0.0;34.2;0.0;35.4;0.1;0.0;16.1;0.0;224.6;0.0;1.2;24.6;0.9;0.0;0.1;0.0;0.0;20.2;3.2;69.2;0.1;14.1;9.1;0.0;0.0;5.5;10.0;0.2;0.0;18.1;51.7;3.2;0.1;10.7;0.0;0.2;8.0;0.0;6.3;0.0;0.4;0.0;0.0;0.0;26.6;3.8;3.6;9.1;0.0;41.3;2.0;9.2;0.0;8.0;0.0;9.6;0.0;0.0;0.0;0.0;0.0;0.0;8.4;26.0;2.2;0.0;0.2;14.2;0.0;0.0;10.4;5.8;0.0;0.0;0.2;0.0;2.8;0.0;0.0
28;0.0;0.0;160.2;0.0;0.0;0.0;0.0;13.1;0.0;40.2;1.4;0.0;0.8;0.0;12.2;0.0;0.0;0.2;0.1;18.5;1.9;0.0;48.2;0.6;34.4;23.4;0.0;1.1;0.0;0.2;1.7;0.0;0.0;0.8;9.8;0.0;27.6;0.0;4.6;0.0;0.0;0.0;2.1;30.8;0.0;25.8;58.5;0.0;0.3;0.0;0.2;0.0;0.0;0.0;0.0;6.3;0.7;0.0;28.8;0.3;0.0;0.1;4.5;6.3;0.0;1.9;0.0;0.0;0.7;24.9;0.0;0.0;14.3;0.0;16.6;0.0;0.0;0.0;5.4;15.7;0.0;0.2;7.1;6.9;22.8;0.6;0.0;0.0;0.6;7.8;16.4;14.2;9.7;0.0;0.0;0.0;7.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.7;2.0;4.8;0.0;7.4;2.3;3.5;0.0;46.7;8.4;29.8;0.0;16.8;28.8;1.8;9.2;34.7;36.7;3.2;15.4;0.0;0.0;0.0;0.0;6.4;0.0;0.0;0.0;0.0;136.3;0.2;28.0;5.4;0.0;0.0;0.1;0.0;0.0;0.3;26.8;0.6;0.0;0.0;3.3;0.0;0.0;1.6;0.8;0.0;2.3;0.0;0.1;1.4;0.0;17.2;0.0;1.0;2.2;0.0;0.0;5.1;0.0;0.0;21.5;0.0;10.0;0.1;0.0;18.2;0.0;1.1;1.8;2.4;0.0;2.8;0.0;5.4;50.8;0.0;12.6;6.4;0.0;0.0;0.0;9.6;7.0;29.2;9.6;0.0;61.0;0.6;0.0;2.8;0.0;1.0;0.0;0.0;1.2;13.6;0.0
29;0.0;0.0;61.6;0.0;0.0;0.0;0.0;0.0;0.0;19.6;0.0;0.0;2.1;;17.6;0.0;0.0;0.2;0.0;5.6;0.5;0.0;0.0;4.2;0.0;;0.0;0.0;0.0;0.0;0.0;2.8;0.0;12.4;17.6;0.0;9.8;;0.1;0.0;0.9;0.0;0.0;15.2;6.1;3.6;9.2;0.0;0.0;0.0;6.2;0.0;0.0;0.0;0.0;0.0;56.3;0.0;7.7;0.0;0.3;;0.0;0.8;0.0;0.0;0.0;0.0;0.0;15.0;1.1;0.0;50.4;;103.8;0.0;0.0;0.0;12.3;0.9;28.0;0.0;95.6;32.1;59.0;;0.0;2.4;11.3;1.7;0.2;20.0;8.7;3.4;0.0;0.0;46.9;3.0;27.2;62.6;3.3;0.0;0.0;5.7;0.0;3.1;0.0;0.0;1.8;;1.2;0.0;21.1;0.1;33.8;0.0;33.6;47.2;3.1;4.3;4.1;;42.0;5.2;0.0;0.0;0.0;0.0;0.2;0.0;1.8;2.7;1.5;;16.8;0.3;0.0;0.0;0.0;0.0;0.0;7.0;0.1;0.6;0.0;0.0;2.1;52.1;0.0;0.0;0.1;0.3;0.0;0.0;0.0;31.5;10.4;;12.6;0.0;5.4;20.5;0.0;0.0;4.0;0.0;1.8;11.2;0.0;;0.0;0.0;2.3;0.0;0.0;0.2;0.0;0.0;0.0;20.4;0.0;;19.8;51.4;10.8;0.0;0.0;0.0;0.2;4.2;55.6;1.4;0.6;12.6;8.4;0.0;0.2;0.4;1.8;0.0;4.8;6.0;18.4;0.0
30;0.0;;29.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;53.2;74.2;0.5;;6.4;0.0;0.0;0.2;0.0;0.0;0.0;0.0;11.6;4.1;1.4;;0.0;17.4;0.0;0.0;0.0;0.0;1.5;122.7;0.0;0.0;12.0;;0.1;0.0;0.1;0.0;0.0;2.0;0.7;9.8;7.9;2.9;1.0;;2.2;0.0;3.3;0.0;0.0;0.0;5.4;0.1;12.3;0.0;0.1;;0.0;13.6;0.0;0.0;0.0;0.0;0.0;38.0;0.0;9.9;17.2;;2.2;0.0;0.0;0.0;20.7;0.0;5.8;0.1;82.7;4.9;20.3;;0.0;0.5;4.3;0.0;0.1;11.2;0.2;1.9;0.0;3.2;2.5;;6.4;16.0;7.4;0.0;0.0;4.5;0.2;10.6;0.0;0.6;11.6;;0.6;7.4;0.1;1.0;34.0;0.0;24.1;2.0;46.9;0.0;0.1;;12.6;0.0;0.4;0.0;0.0;0.0;1.2;5.4;57.7;4.7;0.0;;61.0;0.0;0.6;0.0;9.4;30.3;0.0;19.7;17.8;0.0;0.0;;0.0;31.2;10.0;0.0;16.8;1.3;0.0;0.0;0.0;15.1;2.2;;0.0;0.0;1.6;23.8;0.0;0.0;3.2;1.2;46.9;0.0;0.0;;44.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.8;;0.2;13.6;2.6;0.0;0.0;0.0;12.2;0.0;16.2;0.0;0.2;;0.0;0.0;12.8;1.0;0.0;3.4;8.8;0.6;5.8;3.0
31;9.6;;0.0;;0.2;;0.2;0.8;;0.0;;34.8;4.6;;0.0;;0.0;;0.1;0.0;;0.0;;0.0;0.4;;0.0;;0.5;;4.9;6.7;;24.9;;0.0;2.6;;0.0;;0.0;;0.0;5.0;;0.0;;26.8;0.0;;0.0;;18.1;;0.0;0.0;;10.3;;0.0;7.5;;1.1;;0.0;;0.0;3.5;;70.0;;9.9;94.2;;13.6;;0.4;;22.4;19.5;;0.0;;6.2;10.0;;0.0;;0.0;;0.0;1.6;;0.0;;3.6;5.8;;0.0;;27.9;;0.0;1.3;;2.5;;;0.0;;0.0;;1.5;;31.3;0.0;;0.0;;38.4;5.8;;6.2;;9.4;;0.0;0.0;;0.3;;2.6;15.0;;9.0;;0.0;;10.6;14.4;;13.8;;25.4;0.0;;0.0;;10.9;;1.9;0.0;;12.5;;0.0;0.0;;0.0;;0.7;;0.0;0.0;;0.4;;57.4;0.0;;0.0;;0.0;;0.0;7.2;;0.0;;0.0;19.6;;0.0;;1.4;;0.0;0.0;;9.8;;0.0;0.0;;0.4;;19.2;;0.0;4.4;;0.0;;10.8
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2000;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2001;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2002;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2003;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2004;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2005;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2006;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2007;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2008;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2009;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2010;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2011;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2012;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2013;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2014;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2015;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2016;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
