Dia;jan-00;fev-00;mar-00;abr-00;mai-00;jun-00;jul-00;ago-00;set-00;out-00;nov-00;dez-00;jan-01;fev-01;mar-01;abr-01;mai-01;jun-01;jul-01;ago-01;set-01;out-01;nov-01;dez-01;Dia;jan-02;fev-02;mar-02;abr-02;mai-02;jun-02;jul-02;ago-02;set-02;out-02;nov-02;dez-02;Dia;jan-03;fev-03;mar-03;abr-03;mai-03;jun-03;jul-03;ago-03;set-03;out-03;nov-03;dez-03;Dia;jan-04;fev-04;mar-04;abr-04;mai-04;jun-04;jul-04;ago-04;set-04;out-04;nov-04;dez-04;Dia;jan-05;fev-05;mar-05;abr-05;mai-05;jun-05;jul-05;ago-05;set-05;out-05;nov-05;dez-05;Dia;jan-06;fev-06;mar-06;abr-06;mai-06;jun-06;jul-06;ago-06;set-06;out-06;nov-06;dez-06;Dia;jan-07;fev-07;mar-07;abr-07;mai-07;jun-07;jul-07;ago-07;set-07;out-07;nov-07;dez-07;Dia;jan-08;fev-08;mar-08;abr-08;mai-08;jun-08;jul-08;ago-08;set-08;out-08;nov-08;dez-08;Dia;jan-09;fev-09;mar-09;abr-09;mai-09;jun-09;jul-09;ago-09;set-09;out-09;nov-09;dez-09;Dia;jan-10;fev-10;mar-10;abr-10;mai-10;jun-10;jul-10;ago-10;set-10;out-10;nov-10;dez-10;Dia;jan-11;fev-11;mar-11;abr-11;mai-11;jun-11;jul-11;ago-11;set-11;out-11;nov-11;dez-11;Dia;jan-12;fev-12;mar-12;abr-12;mai-12;jun-12;jul-12;ago-12;set-12;out-12;nov-12;dez-12;Dia;jan-13;fev-13;mar-13;abr-13;mai-13;jun-13;jul-13;ago-13;set-13;out-13;nov-13;dez-13;Dia;jan-14;fev-14;mar-14;abr-14;mai-14;jun-14;jul-14;ago-14;set-14;out-14;nov-14;dez-14;Dia;jan-15;fev-15;mar-15;abr-15;mai-15;jun-15;jul-15;ago-15;set-15;out-15;nov-15;dez-15;jan-16;fev-16;mar-16;abr-16;mai-16;jun-16;jul-16;ago-16;set-16;out-16;nov-16;dez-16
1;130.8;12.2;8.8;1.8;0.3;4.2;0.0;0.0;56.0;0.0;0.0;40.2;5.2;25.4;0.0;56.0;0.0;0.0;0.0;0.0;0.0;88.8;14.0;0.0;1;1.2;5.6;0.0;0.0;0.0;0.0;0.0;15.4;0.0;6.0;52.5;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;40.0;2.7;1;33.8;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;8.7;4.3;1;0.0;6.2;74.8;0.0;1.2;0.0;0.0;0.0;34.4;2.1;9.2;70.0;1;6.2;0.0;0.0;5.2;0.0;0.2;0.6;11.4;56.0;0.0;24.8;0.1;1;7.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;13.3;0.0;1;0.0;0.2;6.5;0.0;1.9;0.0;0.0;0.0;0.0;26.2;0.2;0.0;1;4.3;0.0;0.5;2.5;49.1;0.0;3.2;0.0;0.0;0.0;0.0;53.9;1;92.9;0.0;0.7;2.8;0.0;18.8;0.0;28.5;0.0;8.2;1.2;16.4;1;117.0;0.0;71.2;0.6;11.2;0.0;0.0;14.0;0.0;2.8;3.6;68.4;1;6.2;5.9;0.0;0.1;1.0;6.5;0.0;0.0;0.0;0.0;15.6;0.2;1;11.8;0.0;0.0;0.0;0.0;0.0;35.4;0.0;0.0;21.7;0.0;17.8;1;33.3;0.0;0.0;1.7;0.0;0.0;0.0;0.0;0.0;5.4;0.0;0.0;1;3.6;37.6;0.2;1.2;0.2;6.0;0.2;0.2;16.8;2.0;45.2;1.2;61.4;0.0;2.8;0.0;0.0;6.0;0.8;0.2;0.0;9.4;0.0;0.0
2;15.0;10.4;0.0;41.8;9.5;0.1;0.0;0.0;24.8;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;5.6;0.0;2;6.4;57.6;4.2;1.8;11.2;0.0;0.0;5.6;0.0;0.0;2.3;22.1;2;1.0;0.0;0.0;1.3;42.0;0.0;0.0;0.0;0.0;0.0;49.8;0.0;2;8.2;0.0;0.0;0.0;0.0;26.0;0.0;0.0;0.0;0.0;1.0;0.3;2;0.0;90.8;17.0;0.0;0.0;0.0;0.0;0.0;0.1;1.7;19.1;78.7;2;9.7;0.0;0.0;0.0;0.3;1.2;9.5;23.4;0.0;3.7;11.4;0.0;2;1.5;9.1;0.0;0.0;0.0;9.8;0.0;0.4;5.8;0.0;18.4;0.0;2;1.2;0.0;0.0;4.7;40.0;0.0;0.0;3.5;0.0;0.0;4.5;25.3;2;18.0;3.0;0.0;4.5;0.0;0.0;4.1;0.0;0.0;0.7;0.0;3.9;2;10.1;0.0;0.0;1.0;0.0;0.0;0.0;21.0;0.0;22.6;0.0;2.2;2;58.9;58.9;14.7;11.9;2.0;0.0;0.0;0.0;0.0;13.4;0.4;10.6;2;1.6;0.0;4.7;1.7;7.4;0.0;0.0;0.0;0.0;0.0;4.4;22.3;2;73.8;7.5;0.2;0.8;0.0;9.8;12.5;0.0;0.0;9.3;0.0;0.4;2;0.0;0.0;25.8;56.3;0.0;0.0;0.0;0.1;24.0;8.0;0.0;0.0;2;10.0;3.0;0.0;0.0;0.0;0.4;16.4;0.2;4.0;2.4;5.8;4.8;71.4;0.2;9.2;0.0;0.0;5.0;0.2;5.0;3.2;4.6;5.6;0.0
3;19.0;0.2;0.0;2.2;0.0;0.0;22.7;7.0;34.8;0.0;17.2;0.0;2.5;15.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;3;0.0;21.0;0.4;39.3;0.0;0.0;0.0;0.6;0.0;0.1;0.0;29.0;3;3.4;0.0;6.5;53.6;0.7;4.9;0.0;0.0;0.0;0.0;7.7;1.8;3;0.8;0.0;46.0;0.0;0.0;35.5;0.0;0.0;0.0;10.0;1.8;22.3;3;18.7;47.4;16.0;25.0;0.0;0.0;0.0;0.0;0.5;0.1;2.5;0.3;3;7.4;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;2.9;8.3;0.0;3;24.2;0.0;0.0;0.0;5.2;0.0;0.1;0.0;0.0;0.0;29.6;0.0;3;2.5;52.5;0.0;47.8;0.0;32.8;0.0;7.6;0.0;0.0;0.0;1.4;3;4.7;12.4;0.2;0.1;0.0;0.0;0.5;0.0;15.4;2.5;0.0;33.7;3;0.0;0.0;2.0;19.0;0.0;0.0;0.0;7.2;0.0;29.0;0.0;1.4;3;20.0;3.5;9.5;7.5;0.0;0.0;9.6;0.0;0.0;11.3;0.0;9.0;3;0.0;0.0;0.0;0.2;6.1;0.0;0.0;0.0;3.2;0.2;2.9;0.0;3;19.2;4.5;0.0;0.1;0.0;7.9;0.1;0.0;8.9;23.3;0.0;0.0;3;0.0;0.0;0.0;42.0;0.0;0.0;0.0;0.0;5.4;0.2;0.6;0.0;3;6.8;0.0;0.0;0.2;0.0;0.2;13.4;0.0;0.0;7.2;1.6;0.8;31.0;0.0;8.8;0.0;0.0;9.0;0.0;1.0;0.6;11.2;39.0;13.0
4;6.9;8.8;0.0;0.1;0.0;0.0;0.4;1.0;0.0;35.3;21.8;6.8;0.3;12.4;0.0;2.0;14.4;0.0;0.0;0.0;0.2;0.0;0.0;0.0;4;0.0;0.0;0.0;3.2;0.2;0.0;0.0;0.0;0.0;0.1;34.9;0.2;4;14.4;0.0;0.0;9.7;0.0;4.5;0.0;0.0;0.0;0.0;4.9;0.0;4;0.0;1.0;165.8;9.8;4.6;1.0;0.6;0.0;0.0;10.9;0.1;2.3;4;25.9;16.5;10.9;35.8;0.0;0.0;0.0;0.0;13.2;0.0;1.2;0.0;4;28.3;0.0;10.4;2.4;0.0;0.0;0.0;0.0;0.0;2.9;0.0;38.9;4;0.4;0.0;0.0;68.2;0.1;0.1;0.0;1.1;0.0;0.0;14.7;0.0;4;2.2;3.0;0.0;7.7;0.0;0.0;0.0;0.0;0.4;24.8;0.0;0.0;4;14.7;6.0;0.0;0.0;8.2;0.0;0.9;2.3;7.4;6.0;0.0;8.7;4;1.0;0.0;13.1;82.0;0.0;4.2;0.0;16.2;0.5;0.0;6.0;1.4;4;9.4;4.1;5.8;0.0;0.0;9.8;0.0;0.0;0.0;0.9;0.0;0.4;4;0.0;0.0;0.0;4.5;0.0;17.5;0.0;0.0;0.4;0.6;0.9;0.1;4;22.2;19.2;0.0;6.1;0.0;0.1;0.0;1.2;13.0;0.2;50.0;0.0;4;172.2;0.0;0.0;2.5;0.0;0.0;0.0;11.8;6.6;0.2;5.8;18.8;4;3.2;8.0;0.2;0.0;5.2;0.2;3.2;0.0;11.4;22.8;17.0;0.0;0.0;0.0;0.0;0.2;0.2;18.2;0.2;0.0;0.2;8.2;18.0;2.4
5;5.8;3.5;0.0;0.0;0.0;0.0;0.0;0.1;0.0;7.0;0.8;20.8;0.0;7.2;0.0;3.0;0.0;0.0;2.3;0.0;2.8;0.0;0.0;1.1;5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;12.2;0.0;0.0;49.2;14.6;5;0.9;4.3;13.5;3.9;0.0;5.5;0.0;0.0;0.0;0.0;8.8;18.0;5;0.0;24.0;6.0;0.0;1.8;0.0;11.5;0.0;0.0;10.0;0.0;2.6;5;0.4;4.6;3.5;50.8;0.0;0.0;38.3;0.0;1.4;0.2;0.1;3.9;5;5.3;0.0;14.2;0.0;0.4;0.0;0.0;0.0;0.0;23.9;0.0;0.0;5;1.0;33.2;0.0;72.3;0.0;0.0;0.0;8.7;0.0;0.0;6.2;0.0;5;26.4;0.0;0.0;1.4;0.0;0.0;0.0;0.8;0.0;11.4;0.0;0.0;5;23.0;3.9;0.0;13.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;5;4.8;0.0;16.6;91.0;0.0;0.0;0.0;4.0;9.9;0.0;12.8;15.2;5;12.4;0.0;9.5;14.6;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.5;5;0.0;0.0;0.0;0.0;0.0;39.8;0.0;0.6;0.2;0.8;1.0;0.1;5;0.0;0.0;11.6;6.5;11.8;0.0;0.0;3.2;0.3;1.7;5.2;14.0;5;8.4;0.0;12.4;0.0;0.0;0.0;0.0;0.1;0.0;0.0;4.8;4.6;5;18.2;28.0;0.2;0.2;7.2;0.2;1.0;0.0;0.0;10.6;4.2;20.0;0.0;1.6;0.0;0.0;0.0;13.6;0.0;0.2;4.2;3.4;0.6;0.0
6;5.4;5.3;0.0;0.0;0.0;0.0;0.0;0.0;1.4;0.0;7.2;0.0;0.0;16.3;0.0;5.0;0.0;0.0;1.2;0.0;37.2;0.0;0.0;0.1;6;4.4;1.4;20.0;29.5;11.8;0.0;0.0;1.2;12.0;0.0;5.2;0.0;6;8.4;2.6;0.0;20.8;0.0;0.0;0.0;4.6;0.0;0.0;3.2;3.9;6;0.0;44.2;46.0;28.4;7.4;0.0;0.0;0.0;0.0;9.8;58.9;1.2;6;0.0;2.4;6.5;0.0;0.0;0.0;28.9;0.0;25.9;4.9;0.0;76.4;6;0.1;0.4;2.8;1.6;1.3;0.0;0.0;0.0;0.0;4.3;0.5;55.9;6;0.2;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;10.2;50.0;6;24.8;6.3;0.0;17.0;0.0;0.0;0.0;0.0;10.0;7.9;3.5;0.0;6;0.9;0.0;10.0;0.8;0.0;0.0;0.0;3.7;21.2;2.5;0.0;0.7;6;1.2;0.0;11.2;80.5;0.0;0.0;0.0;5.7;12.2;0.0;14.8;26.4;6;0.0;0.0;1.6;0.4;0.0;0.0;3.1;0.0;8.0;0.0;0.0;0.8;6;34.6;0.0;0.0;0.0;20.2;22.0;0.0;0.0;0.0;0.0;0.2;0.0;6;1.0;7.6;11.6;0.0;0.1;0.0;0.0;0.0;0.0;2.7;27.1;0.0;6;0.0;0.0;0.8;0.0;0.0;30.7;0.0;0.0;0.4;0.0;0.0;0.2;6;0.0;16.8;14.4;38.4;0.2;0.0;0.0;0.0;10.2;0.0;36.2;28.8;0.0;32.8;0.2;0.0;0.0;34.4;0.0;0.0;1.6;6.4;0.0;0.0
7;0.6;19.2;63.8;0.0;0.0;0.0;0.0;0.0;0.1;0.0;2.2;0.0;2.6;0.0;6.2;3.0;6.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;7;0.0;12.3;8.4;27.4;0.0;0.0;0.0;2.6;0.6;0.0;10.1;18.2;7;0.0;0.0;2.0;0.0;0.0;14.2;0.3;2.0;0.0;5.8;12.0;0.0;7;6.0;8.8;4.0;0.4;0.0;0.0;0.0;6.1;0.0;0.0;11.4;5.1;7;7.0;0.0;0.0;0.0;0.0;0.0;12.5;3.8;13.0;1.3;129.3;5.5;7;0.0;5.6;3.9;0.2;1.1;0.0;0.0;0.0;0.0;3.2;8.2;16.7;7;0.4;50.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;14.9;7;18.1;7.3;0.0;0.0;0.0;0.0;0.0;14.4;0.2;50.6;1.0;0.0;7;0.0;2.4;1.0;15.1;0.0;0.0;0.0;1.5;0.0;46.0;0.4;63.8;7;59.2;0.0;0.0;13.1;0.0;0.0;0.0;1.0;53.4;7.4;0.0;1.6;7;8.2;3.6;11.3;14.2;0.0;11.0;0.7;0.0;0.0;0.0;0.0;0.7;7;0.6;0.0;0.0;0.0;0.0;43.0;19.2;0.0;0.0;0.0;0.0;6.3;7;0.0;10.8;0.0;127.9;7.9;0.3;0.0;0.0;0.0;15.9;3.8;0.0;7;0.0;0.0;108.4;0.0;0.0;0.0;1.6;0.1;0.4;0.0;2.4;0.0;7;0.0;0.0;11.6;5.2;15.4;0.0;12.6;0.0;22.6;0.0;21.4;10.0;0.0;33.0;13.8;0.2;0.0;1.6;0.0;14.6;0.2;1.2;0.0;0.4
8;0.2;2.9;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;19.5;0.0;0.0;0.1;0.0;0.0;14.2;0.0;13.6;8;9.1;23.9;0.2;17.2;0.9;0.0;0.0;0.0;0.1;0.0;0.0;165.0;8;0.0;0.0;54.0;2.8;0.0;8.7;0.0;0.0;0.0;0.0;0.0;0.0;8;55.2;28.4;0.0;0.0;0.0;0.0;8.0;3.2;0.0;0.0;1.2;17.6;8;0.0;0.0;0.0;2.2;0.2;0.0;1.4;10.6;0.5;0.6;14.0;0.0;8;0.0;124.1;0.0;6.7;4.1;0.0;0.0;0.0;0.0;15.6;1.6;0.0;8;1.2;40.1;16.6;4.3;29.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;0.0;2.2;0.0;1.0;0.0;0.0;0.0;29.4;2.8;29.5;0.0;0.0;8;0.0;0.8;15.3;17.0;0.0;0.0;0.0;0.0;65.6;60.0;24.9;48.1;8;0.4;0.0;0.0;27.6;38.8;0.0;0.0;0.0;19.6;5.3;0.0;17.3;8;45.5;8.2;9.9;0.0;0.0;0.0;0.0;0.8;0.6;0.1;0.0;11.8;8;3.8;0.0;0.0;2.3;0.0;18.9;8.6;0.0;0.0;0.0;0.0;3.5;8;29.7;29.0;0.0;3.8;0.1;0.0;34.0;0.0;0.0;0.0;0.0;0.0;8;2.2;0.2;0.3;0.0;0.4;0.0;5.0;19.6;0.0;0.2;6.2;0.0;8;0.0;0.4;10.2;0.2;0.0;0.0;5.0;0.0;27.8;0.6;7.8;0.0;2.6;0.2;0.0;0.0;0.4;0.2;0.2;12.0;1.2;0.0;0.0;0.0
9;0.0;5.2;2.4;0.0;0.0;0.0;0.0;3.4;0.0;0.0;0.0;0.0;0.0;17.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;4.5;22.5;9;0.4;2.9;0.0;0.0;3.6;0.0;0.0;0.0;0.9;0.0;0.0;42.8;9;0.0;0.0;3.0;0.3;3.8;1.6;4.0;14.8;0.0;15.0;0.0;7.8;9;5.2;1.8;0.0;5.5;1.9;3.1;0.0;0.0;0.0;0.0;0.0;25.0;9;0.0;0.0;0.0;0.1;0.0;0.0;0.0;42.4;0.0;4.8;5.7;0.0;9;0.0;15.3;0.0;3.8;0.0;0.0;57.7;0.0;0.0;0.9;2.8;0.0;9;0.0;14.4;0.0;13.6;10.2;0.0;0.0;0.6;0.0;0.0;0.8;0.0;9;0.0;0.0;0.4;1.7;1.5;0.0;0.0;56.8;0.6;4.0;0.0;0.0;9;0.0;2.2;19.1;0.0;0.3;0.0;0.0;0.0;3.4;4.5;4.3;2.3;9;8.8;16.2;0.0;17.0;26.6;4.3;0.0;3.0;0.0;12.3;2.2;4.2;9;1.6;0.0;0.2;3.5;13.4;14.6;0.0;1.5;0.2;2.0;0.0;25.8;9;1.4;0.0;0.0;12.0;0.0;1.7;0.0;0.0;0.6;0.0;7.4;7.1;9;101.4;0.1;23.6;4.0;0.0;0.0;0.9;0.0;0.0;0.0;0.1;4.4;9;0.0;0.0;0.0;0.0;1.2;19.0;44.6;3.4;0.0;0.2;0.2;1.0;9;0.0;0.2;14.6;0.0;0.2;0.0;0.0;0.0;0.0;0.4;0.6;0.0;60.0;0.0;0.0;0.0;0.0;0.2;0.2;0.6;1.4;2.0;21.0;0.8
